2 citationauthorities
0		1	citationauthorities-81d9fd5c-1e2e-431f-8a76
39		352	citationauthorities-e6cb9bfa-724d-476c-be22

7 conceptauthorities
95		46570	conceptauthorities-1824cf1c-958b-4c93-a42b
0		0	conceptauthorities-333895cf-19b1-4876-ba43
0		0	conceptauthorities-6fdb60f2-0e94-49ba-b857
0		0	conceptauthorities-7242904b-22ce-45d9-b795
0		0	conceptauthorities-a2a16ef4-acee-4951-a2da
0		2	conceptauthorities-ba2eea2d-d08b-4f76-8a58
0		0	conceptauthorities-c9d3e21c-f95d-4de3-9b22

2 locationauthorities
1		31	locationauthorities-7c60b4db-ce2f-4220-9820
7		29576	locationauthorities-956ad75f-7882-4bbe-b6c8

2 orgauthorities
141		21042	orgauthorities-540e0585-fbcd-4bc0-a54e
0		3	orgauthorities-80d75eab-c322-41c8-b0b7

2 personauthorities
122		79585	personauthorities-e439b6cc-dfe0-4228-b251
0		0	personauthorities-f5979b42-25b6-4e0a-a86f

2 placeauthorities
0		0	placeauthorities-13fa994e-c88e-4fc5-b90f
76		10112	placeauthorities-4f228272-6952-4b3a-a6b3

2 taxonomyauthority
0		0	taxonomyauthority-0a6039aa-6507-4578-ac20
0		7034	taxonomyauthority-b160f59d-51bc-411f-adb1

486		194327	total
